harvest,,temperature,horizon,region,site,resp_act
T0,,5,B,ER,1,
T0,,5,B,ER,2,
T0,,5,B,ER,3,
T0,,5,B,SR,1,
T0,,5,B,SR,2,
T0,,5,B,SR,3,
T0,,5,B,GC,1,
T0,,5,B,GC,2,
T0,,5,B,GC,3,
T0,,10,B,ER,1,3.28
T0,,10,B,ER,2,3.89
T0,,10,B,ER,3,3.64
T0,,10,B,SR,1,3.25
T0,,10,B,SR,2,4.20
T0,,10,B,SR,3,5.23
T0,,10,B,GC,1,3.74
T0,,10,B,GC,2,3.61
T0,,10,B,GC,3,2.27
T0,,15,B,ER,1,5.64
T0,,15,B,ER,2,7.38
T0,,15,B,ER,3,7.44
T0,,15,B,SR,1,5.27
T0,,15,B,SR,2,7.31
T0,,15,B,SR,3,11.07
T0,,15,B,GC,1,6.89
T0,,15,B,GC,2,8.51
T0,,15,B,GC,3,5.65
T0,,5,L,ER,1,17.46
T0,,5,F,ER,1,9.16
T0,,5,H,ER,1,6.58
T0,,5,L,ER,2,26.11
T0,,5,F,ER,2,13.61
T0,,5,H,ER,2,7.74
T0,,5,L,ER,3,21.45
T0,,5,F,ER,3,17.40
T0,,5,H,ER,3,12.49
T0,,5,L,GC,1,23.22
T0,,5,F,GC,1,8.70
T0,,5,H,GC,1,6.95
T0,,5,L,GC,2,22.16
T0,,5,F,GC,2,6.00
T0,,5,H,GC,2,2.45
T0,,5,L,GC,3,29.94
T0,,5,F,GC,3,7.46
T0,,5,H,GC,3,3.69
T0,,10,L,ER,1,45.81
T0,,10,F,ER,1,17.28
T0,,10,H,ER,1,10.82
T0,,10,L,ER,2,57.00
T0,,10,F,ER,2,17.17
T0,,10,H,ER,2,14.01
T0,,10,L,ER,3,41.84
T0,,10,F,ER,3,26.53
T0,,10,H,ER,3,24.46
T0,,10,L,GC,1,31.25
T0,,10,F,GC,1,14.00
T0,,10,H,GC,1,8.79
T0,,10,L,GC,2,22.30
T0,,10,F,GC,2,9.79
T0,,10,H,GC,2,4.82
T0,,10,L,GC,3,44.24
T0,,10,F,GC,3,7.41
T0,,10,H,GC,3,3.79
T0,,15,L,ER,1,72.28
T0,,15,F,ER,1,32.42
T0,,15,H,ER,1,22.83
T0,,15,L,ER,2,186.00
T0,,15,F,ER,2,36.78
T0,,15,H,ER,2,22.44
T0,,15,L,ER,3,122.78
T0,,15,F,ER,3,43.70
T0,,15,H,ER,3,44.61
T0,,15,L,GC,1,73.15
T0,,15,F,GC,1,25.94
T0,,15,H,GC,1,21.75
T0,,15,L,GC,2,71.14
T0,,15,F,GC,2,15.11
T0,,15,H,GC,2,7.68
T0,,15,L,GC,3,77.95
T0,,15,F,GC,3,23.90
T0,,15,H,GC,3,12.89
T1,,5,B,ER,1,1.69
T1,,5,B,ER,2,1.60
T1,,5,B,ER,3,1.50
T1,,5,B,SR,1,1.36
T1,,5,B,SR,2,2.51
T1,,5,B,SR,3,2.74
T1,,5,B,GC,1,1.35
T1,,5,B,GC,2,2.07
T1,,5,B,GC,3,1.47
T1,,10,B,ER,1,3.53
T1,,10,B,ER,2,3.33
T1,,10,B,ER,3,3.22
T1,,10,B,SR,1,2.94
T1,,10,B,SR,2,3.56
T1,,10,B,SR,3,5.72
T1,,10,B,GC,1,3.76
T1,,10,B,GC,2,3.55
T1,,10,B,GC,3,2.35
T1,,15,B,ER,1,7.63
T1,,15,B,ER,2,7.42
T1,,15,B,ER,3,5.99
T1,,15,B,SR,1,5.64
T1,,15,B,SR,2,9.58
T1,,15,B,SR,3,12.35
T1,,15,B,GC,1,5.81
T1,,15,B,GC,2,6.53
T1,,15,B,GC,3,5.34
T1,,5,L,ER,1,
T1,,5,F,ER,1,
T1,,5,H,ER,1,
T1,,5,L,ER,2,
T1,,5,F,ER,2,
T1,,5,H,ER,2,
T1,,5,L,ER,3,
T1,,5,F,ER,3,
T1,,5,H,ER,3,
T1,,5,L,GC,1,
T1,,5,F,GC,1,
T1,,5,H,GC,1,
T1,,5,L,GC,2,
T1,,5,F,GC,2,
T1,,5,H,GC,2,
T1,,5,L,GC,3,
T1,,5,F,GC,3,
T1,,5,H,GC,3,
T1,,10,L,ER,1,55.09
T1,,10,F,ER,1,27.54
T1,,10,H,ER,1,15.19
T1,,10,L,ER,2,95.29
T1,,10,F,ER,2,30.25
T1,,10,H,ER,2,17.57
T1,,10,L,ER,3,51.96
T1,,10,F,ER,3,24.52
T1,,10,H,ER,3,27.61
T1,,10,L,GC,1,44.66
T1,,10,F,GC,1,27.04
T1,,10,H,GC,1,16.85
T1,,10,L,GC,2,67.17
T1,,10,F,GC,2,12.76
T1,,10,H,GC,2,7.26
T1,,10,L,GC,3,45.21
T1,,10,F,GC,3,24.39
T1,,10,H,GC,3,10.91
T1,,15,L,ER,1,51.58
T1,,15,F,ER,1,44.09
T1,,15,H,ER,1,24.52
T1,,15,L,ER,2,117.03
T1,,15,F,ER,2,32.27
T1,,15,H,ER,2,30.43
T1,,15,L,ER,3,123.77
T1,,15,F,ER,3,83.68
T1,,15,H,ER,3,50.99
T1,,15,L,GC,1,74.68
T1,,15,F,GC,1,27.49
T1,,15,H,GC,1,27.37
T1,,15,L,GC,2,81.37
T1,,15,F,GC,2,17.64
T1,,15,H,GC,2,13.13
T1,,15,L,GC,3,46.53
T1,,15,F,GC,3,33.50
T1,,15,H,GC,3,16.26
T2,,5,B,ER,1,1.72
T2,,5,B,ER,2,1.58
T2,,5,B,ER,3,2.40
T2,,5,B,SR,1,1.84
T2,,5,B,SR,2,1.79
T2,,5,B,SR,3,3.03
T2,,5,B,GC,1,1.96
T2,,5,B,GC,2,1.50
T2,,5,B,GC,3,1.31
T2,,10,B,ER,1,3.50
T2,,10,B,ER,2,3.25
T2,,10,B,ER,3,2.95
T2,,10,B,SR,1,2.60
T2,,10,B,SR,2,2.90
T2,,10,B,SR,3,4.26
T2,,10,B,GC,1,2.54
T2,,10,B,GC,2,2.81
