,,i15:0,a15:0,15:0,16:0,16:0a,16:1w7,cy17:0,18:1w9,18:1w7,18:2w6,cy19:0,18:3w3,20:0,20:0EE,22:0
4000,695,538,272,214,5047,5047,981,329,2953,1444,4913,691,1254,365,2376,707
4008,695,616,320,253,5789,5789,1090,388,3197,1631,5287,805,1497,431,2623,838
4013,695,307,155,122,2943,2943,561,187,1776,846,2823,434,736,221,1470,457
4001,691,662,407,242,7238,7238,1658,583,5082,2499,8510,925,1853,449,2550,1010
4009,691,573,349,208,5942,5942,1415,510,4328,2167,7383,861,1544,457,1928,862
4014,691,477,289,156,4643,4643,1038,387,3353,1645,5918,676,1224,384,1471,782
4002,696,344,258,117,3327,3327,865,303,2335,1314,4520,508,644,286,2609,632
4010,696,345,262,119,3173,3173,883,311,2379,1302,4331,468,563,276,2471,538
3996,692,680,414,174,4457,4457,1099,547,3339,2078,5038,1082,681,211,2424,402
4004,692,719,450,190,4707,4707,1200,587,3405,2161,5399,1122,777,224,2427,445
4018,693,878,533,159,4505,4505,1159,514,3960,1912,3849,1170,477,477,1738,531
4023,693,649,395,117,3353,3353,858,394,3115,1462,3035,967,372,217,1404,437
4044,694,336,226,123,4629,4629,716,359,3509,1377,4782,830,715,208,1547,393
4049,694,408,266,142,4826,4826,757,384,3779,1457,5176,890,803,220,1635,409
4029,700,1273,560,224,3356,3356,1807,517,2756,2246,2470,1470,231,471,1926,963
4035,700,1380,594,234,3503,3503,1879,527,2837,2299,2556,1528,210,480,1957,955
4031,701,860,368,138,2625,2625,1289,358,2253,1889,2222,1118,133,397,1830,1274
4037,701,793,390,144,2740,2740,1372,374,2361,1980,2337,1201,111,403,1830,1246
4032,702,1197,599,188,3509,3509,1731,479,2605,2495,2222,1118,197,308,1748,583
4038,702,1398,698,217,3997,3995,2072,559,3110,1988,2873,1337,218,372,2083,711
3997,697,730,337,148,2692,2692,814,396,2460,1283,1994,1370,116,174,2258,342
4005,697,853,402,176,3021,3021,971,458,2737,1478,2380,1544,153,210,2460,411
4017,698,545,268,84,1858,1857,745,321,1886,1243,1102,1260,69,183,1976,357
4022,698,541,267,83,1836,1836,747,318,1895,1253,1141,1276,69,184,1991,363
4045,699,657,319,135,3059,3059,906,327,2255,1456,1751,1352,110,174,1691,393
4050,699,781,362,153,3329,3329,1017,367,2543,1617,1979,1524,115,196,1871,433
4030,706,680,291,109,1475,1475,843,1470,1574,1565,625,1173,64,232,1688,437
4036,706,765,321,118,1588,1588,912,356,1579,1681,625,1251,59,243,1793,450
4046,707,167,74,36,769,768,372,97,875,728,566,514,49,236,1608,437
4051,707,323,140,67,1355,1355,667,171,1527,1270,964,889,79,406,2697,754
4033,708,1178,612,146,2576,2576,1568,519,2149,3330,830,1798,715,433,1680,615
4039,708,1173,610,146,2559,2559,1628,532,2249,3480,857,1876,69,453,1739,643
3998,703,689,247,116,2075,2075,673,290,2166,1489,996,1722,54,193,24126,319
4006,703,726,265,125,2118,2118,714,316,2259,1580,1106,1801,75,211,2477,345
4079,703,394,136,58,1327,1327,428,199,1458,977,690,1157,39,115,1962,200
4016,704,1025,366,135,1902,1902,937,330,2153,1541,925,2045,53,186,1947,371
4021,704,976,348,127,1799,1799,895,316,2063,1485,901,1986,52,178,1882,351
4019,705,840,301,154,2512,2512,1203,417,2931,2167,1668,2577,144,328,1716,613
4024,705,863,308,157,2535,2535,1206,418,2891,2156,1633,2543,142,323,1630,548
4082,712,850,428,83,2341,2341,1360,1024,1259,4624,369,3839,,162,623,274
4086,712,667,337,65,1852,1852,1060,802,1004,3702,290,3085,24,127,478,206
4093,690,1145,626,115,2607,2607,1604,1108,1587,4265,263,2999,,237,289,316
4097,690,1274,698,129,2846,2846,1753,1220,1719,4638,298,3223,34,262,332,341
4103,690,1325,723,130,2961,2961,1814,1259,1766,4799,333,3352,43,272,343,360
4107,690,1338,733,131,2997,2887,1872,1285,1800,4786,350,3310,46,272,345,355
4092,713,1923,976,187,3471,3988,2463,1479,1975,5609,491,3903,35,341,373,402
4096,713,1980,1013,196,3532,3532,2500,1518,2003,5675,463,3899,39,341,377,402
4102,713,2073,1058,199,3670,3670,2592,1569,2039,5846,509,4024,54,351,381,422
4106,713,563,279,51,1071,1071,712,425,610,1815,148,1228,17,103,113,129
4047,709,746,376,64,1534,1534,870,355,1095,2992,194,3691,24,96,329,132
4052,709,879,423,71,1690,1690,954,390,1210,3374,201,4102,26,106,364,147
4081,710,834,466,70,1980,1980,1100,869,1199,4934,235,4559,21,147,435,183
4085,710,513,289,44,1242,1242,700,527,771,3237,155,2965,13,91,258,112
4080,711,3520,1779,307,6028,6028,3578,2251,2802,9737,472,9598,67,378,544,450
4084,711,1859,918,157,3580,3580,1935,1227,1839,6537,276,6582,38,243,350,296
4091,711,1341,660,111,2679,2679,1429,894,1428,5259,214,5418,26,176,258,219
4095,711,1396,694,120,2755,2755,1454,933,1460,5398,180,5562,30,1411,274,226
4101,711,1311,649,110,2586,2586,1342,855,1346,5067,184,5264,30,176,247,211
4105,711,675,334,57,1353,1353,686,439,723,2783,109,2975,18,95,135,114
