,,i15:0,a15:0,15:0,16:0,16:0a,16:1w7,cy17:0,18:1w9,18:1w7,18:2w6,cy19:0,18:3w3,20:0,20:0EE,22:0
4000,695,-29.095,-30.704,-34.234,-38.059,-38.053,-31.268,-31.21,-31.458,-31.716,-34.166,-31.125,-40.787,-31.979,-27.504,-31.01
4008,695,-28.888,-29.842,-33.562,-38.439,-38.026,-31.14,-30.695,-32.66,-31.239,-34.292,-31.102,-40.611,-31.96,-27.673,-31.464
4013,695,-28.431,-28.867,-35.814,-38.163,-37.711,-31.309,-31.135,-32.05,-31.638,-34.668,-31.595,-40.747,-30.093,-27.048,-31.214
4001,691,-28.733,-31.311,-34.851,-36.951,-36.381,-31.325,-31.165,-33.577,-31.417,-33.638,-31.125,-38.964,-35.688,-30.642,-36.018
4009,691,-28.723,-30.949,-34.319,-38.338,-37.732,-30.275,-30.896,-33.984,-30.329,-32.978,-30.494,-39.288,-34.631,-29.684,-35.548
4014,691,-28.276,-30.855,-31.698,-38.01,-37.327,-30.32,-31.078,-34.197,-30.919,-33.442,-30.614,-38.456,-33.993,-27.785,-32.406
4002,696,-28.832,-31.915,-35.129,-36.488,-36.509,-30.784,-30.498,-32.279,-32.224,-33.61,-31.217,-38.761,-34.536,-26.678,-33.399
4010,696,-29.039,-32.156,-33.844,-36.451,-35.978,-30.591,-30.928,-31.521,-32.067,-32.957,-30.392,-38.42,-32.828,-27.069,-32.908
3996,692,-26.762,-28.024,-31.974,-34.017,-33.977,-29.452,-30.407,-30.755,-30.418,-32.497,-29.734,-36.745,-32.194,-26.978,-32.021
4004,692,-27.178,-27.461,-30.662,-34.277,-34.282,-29.351,-30.211,-31.06,-29.045,-32.229,-28.365,-36.8,-31.659,-26.864,-32.638
4018,693,-27.322,-30.268,-30.429,-35.31,-35.35,-29.098,-30.598,-32.109,-30.528,-32.661,-30.02,-36.588,-31.749,-26.938,-32.385
4023,693,-27.101,-28.721,-29.497,-35.336,-35.267,-28.979,-29.588,-32.051,-30.953,-32.535,-30.106,-35.842,-32.196,-28.392,-32.593
4044,694,-28.574,-31.327,-33.1,-35.667,-35.529,-29.687,-31.233,-31.997,-31.181,-32.362,-29.859,-36.473,-32.6,-27.048,-33.788
4049,694,-30.5,-31.6,-30,-35.4,-35.4,-29.9,-30.9,-32.1,-31.1,-32.3,-29.9,-36.7,-33.4,-27.2,-33.4
4029,700,-27.898,-29.04,-31.354,-32.457,-32.339,-28.304,-29.584,-29.062,-31.059,-33.22,-30.456,-34.34,-28.976,-26.586,-28.973
4035,700,-27.442,-28.899,-30.898,-32.283,-32.23,-28.833,-29.405,-29.361,-31.45,-33.55,-30.702,-35.538,-29.163,-26.541,-29.74
4031,701,-27.281,-27.94,-29.211,-32.564,-31.711,-28.175,-29.424,-28.301,-30.155,-32.864,-31.339,-33.638,-29.163,-27.076,-28.935
4037,701,-27.829,-29.026,-28.941,-32.446,-31.769,-28.466,-29.366,-28.729,-30.497,-32.146,-30.284,-33.481,-29.991,-26.602,-29.115
4032,702,-28.281,-29.346,-30.631,-32.684,-32.535,-28.828,-30.214,-29.013,-31.121,-33.183,-31.339,-35.569,-31.091,-26.456,-31.778
4038,702,-27.882,-29.576,-30.906,-32.867,-32.872,-28.919,-30.236,-29.098,-31.333,-33.672,-31.281,-35.945,-31.279,-26.358,-31.923
3997,697,-27.313,-28.096,-29.537,-31.475,-31.478,-27.609,-29.246,-28.093,-30.519,-32.193,-29.857,-34.106,-31.184,-26.578,-31.128
4005,697,-27.437,-28.093,-29.482,-31.728,-31.722,-28.024,-29.638,-28.592,-29.721,-31.927,-30.081,-33.369,-31.001,-26.813,-30.397
4017,698,-27.544,-28.674,-31.159,-31.962,-31.867,-28.568,-30.345,-28.448,-30.851,-32.562,-31.091,-36.361,-30.157,-27.253,-31.404
4022,698,-27.386,-29.287,-29.824,-31.92,-31.914,-28.488,-30.548,-28.547,-30.955,-32.442,-31.053,-34.164,-30.829,-26.89,-31.333
4045,699,-28.212,-28.061,-28.946,-32.023,-31.902,-28.179,-29.975,-28.198,-30.233,-32.222,-30.504,-33.25,-31.355,-26.653,-31.311
4050,699,-27.564,-28.366,-31.328,-31.893,-31.782,-27.768,-28.717,-28.75,-30.559,-32.418,-30.264,-34.339,-30.748,-26.891,-31.643
4030,706,-28.482,-28.986,-33.344,-30.522,-30.353,-28.436,-29.825,-27.014,-30.813,-34.343,-29.932,-33.461,-29.745,-26.398,-29.408
