14:0,i-15:0,ai-15:0,br-16:0,15:1,n-15:0,i-16:0,br-17:0,16:0,2-1 16:1a,10-Me-16:0,2-3 16:1b,2-4a,2-4 16:1w7,2-5 i-17:0_,16:1c,br-17:0,br17:1,10-Me17:0,cy17:0,18:0,0,18:1w9t _,br19:0 _,18:1w9c,18:1b,18:1c,18:2a,"18:2w6,9","18:3w6,9,12",cy-19:0,cy-19:0,0,"18:3w3,6,9",20:0,0,18:2b,21:0,20:2,20:3a,20:3b,"20:4w6,9,12,15",22:0,"20:5w3,6,9,12,15",0,23:0_,24:0,25:0,"22:6w3,6,9,12,15,18"
15.54763,50.99968,35.59121,0,0.71701,16.00801,23.34544,0,309.60273,8.16786,19.38728,5.94741,7.45806,80.55526,9.37928,24.82461,53.31774,9.46097,7.36867,40.9437,81.90074,3.34916,3.107,7.79195,219.70362,130.20766,14.39396,9.7923,383.62363,6.92743,3.41117,72.04355,2.49491,62.71541,13.3506,2.76345,0.77432,2.76498,7.76139,7.56917,4.57443,21.26156,20.75709,17.1871,4.14841,4.32474,16.81289,1.56345,3.08891
16.41199,57.03564,39.3381,0,0.90918,17.64833,23.05332,0.34509,318.87738,8.94162,21.32558,6.32568,7.07242,90.38301,9.51787,27.69985,53.576,13.80901,6.75475,45.06765,65.01321,8.61983,2.424,6.9516,228.21321,135.32987,14.89469,4.08542,416.84697,7.89651,3.57347,75.58193,2.71164,61.15607,10.93504,2.41759,1.71122,2.54762,5.48305,7.96013,3.96303,16.41659,16.96901,10.2605,3.29518,3.77832,14.34913,1.20781,2.77357
16.27894,55.89629,34.44602,0,0.90112,11.61238,25.9425,0.57082,235.07018,9.86148,35.38236,5.27229,5.89042,63.7061,7.49932,25.31501,50.0647,10.93176,9.10972,28.23766,46.97617,5.26036,1.90084,2.90357,186.90425,86.73926,15.54695,7.87642,203.36033,6.64537,3.88026,70.18903,5.13323,29.44464,11.78396,1.11821,1.00558,1.9352,3.48517,6.51685,2.32464,10.14857,18.94801,4.43174,2.51347,3.37692,15.41934,1.13174,2.59361
23.86049,75.56871,50.87746,0,1.06205,16.41696,38.0877,0.74443,367.11716,13.30459,54.2995,7.3337,8.85569,96.76475,10.50904,37.28606,83.01712,16.32756,11.74325,45.09773,76.85588,7.00722,4.93574,5.00902,293.09236,130.8894,21.66912,4.71177,331.21654,9.26432,4.51248,92.20809,6.93789,48.40873,18.49703,2.11201,1.19034,3.06411,4.05548,9.42367,3.80496,16.99123,30.14486,6.02526,3.54197,5.77743,27.67491,2.37473,2.77165
29.68859,48.59338,35.75824,0.5932,0.89612,19.95832,28.06209,0,441.80581,6.5588,20.15292,4.71123,10.91335,83.40542,6.00597,25.09325,84.71126,8.69898,4.99845,41.49063,89.08404,4.14409,3.07575,3.99753,343.17074,126.23159,18.98578,3.71448,577.65733,13.69013,3.95673,85.14074,3.05014,94.96058,17.63591,3.71582,3.41924,3.15772,4.64194,11.14888,4.53475,18.56288,27.03751,5.40455,4.12718,5.90739,21.88518,2.1924,2.63778
30.53938,53.75306,38.38132,0,0.66658,20.99399,20.95413,0.30999,499.06517,7.09106,21.94059,5.27325,12.09208,91.99581,6.79406,27.31051,97.2267,9.3171,5.64745,48.43862,104.49789,0,3.43488,4.35928,387.22009,139.15955,20.43098,7.97882,664.69753,15.47019,3.5709,96.08111,2.87709,111.55736,20.53519,3.36152,3.24994,3.79983,5.35576,11.40932,5.33859,20.37417,31.66513,4.93612,0,6.72032,27.79436,2.71888,2.15869
13.71751,39.24695,22.45103,0,0.59444,17.79144,15.12577,0,334.87025,8.29973,24.3153,4.17101,7.53604,67.34782,4.07957,20.39526,39.17962,7.33503,6.79304,22.13893,40.72709,3.44443,2.19332,2.20171,180.53038,85.46786,13.88679,4.01648,320.73442,8.28851,2.83348,46.42236,2.09428,93.96168,19.42239,1.06742,1.07849,2.17577,3.1957,6.58671,4.64085,53.28327,32.15794,15.77014,3.93496,4.09398,26.32116,2.21114,1.65574
6.90281,27.49665,15.14405,0,0.4452,14.60071,13.16879,0,347.9734,6.86633,21.52313,3.74922,8.29447,59.65917,3.81863,18.66159,33.57703,6.80003,5.27991,21.43949,40.14558,3.26756,2.03743,2.07781,167.79056,85.85763,13.32279,4.03275,339.91736,8.51855,2.48561,47.91108,5.46153,114.58776,16.81296,1.4299,0,2.06186,4.04081,7.26926,6.27857,80.06727,27.65511,21.17917,4.56055,4.11761,26.60274,2.79811,1.47704
12.12275,20.24948,14.23812,0.99429,0.3624,8.67721,4.49631,0.54015,156.84992,0,5.97489,0,0,37.65478,0,9.24069,32.20059,3.57551,0,12.09952,29.31623,1.43509,0.88106,1.3275,110.00211,47.06777,6.57797,4.97931,216.11671,4.27436,0,25.72958,0.91948,53.12842,15.19558,1.61364,1.722,1.96259,1.42929,3.31608,1.63621,10.61217,26.49194,4.11684,2.09346,2.96579,17.53919,1.39449,0.62808
20.40665,54.59759,33.50461,0,0.67355,18.35956,15.97049,0,442.66479,7.40447,17.53736,5.5529,7.77047,109.73978,6.10107,26.89712,81.923,11.8648,5.02382,39.29371,80.93919,3.45602,3.35743,3.42215,321.14639,144.07677,18.86621,5.47182,629.82054,13.23325,3.30844,69.4522,2.89259,139.93046,29.76319,2.97545,5.31079,4.84766,4.15064,8.25652,5.42408,29.54807,53.81216,11.29919,4.35266,7.53388,37.76721,4.01114,1.9833
